team,event_type,gh_time,global_id,student,sprint
t03,commit,2024-02-26T19:26:14Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-26T19:00:34Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T18:48:49Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T18:31:43Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T18:30:03Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T18:22:31Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T18:08:56Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T17:40:05Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T17:35:32Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-26T17:33:56Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T17:31:35Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-26T17:11:10Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-26T17:08:42Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-26T16:55:55Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-26T07:01:55Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-26T00:45:18Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-24T20:14:51Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T19:57:44Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:59:16Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:55:04Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:02:00Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:00:34Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:47:21Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-24T18:47:11Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:41:17Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-24T18:25:02Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-24T18:02:00Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T18:00:34Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T17:30:11Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-24T15:57:38Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-23T21:41:28Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T21:35:54Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T21:34:40Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T21:31:48Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T21:03:30Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-23T21:00:29Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-23T20:11:07Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T19:20:49Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T19:16:22Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T18:12:06Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T17:52:12Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T17:45:44Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-23T16:41:16Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-23T07:12:58Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-23T05:53:45Z,g031,t03_s02,Sprint 1
t03,commit,2024-02-22T21:48:28Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T21:43:49Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T21:40:15Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T21:38:13Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-22T21:25:49Z,g063,t03_s03,Sprint 1
t03,commit,2024-02-22T21:21:15Z,g001,t03_s01,Sprint 1
t03,commit,2024-02-22T21:17:22Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T21:11:47Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T21:06:41Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-22T20:59:51Z,g076,t03_s04,Sprint 1
t03,commit,2024-02-22T20:18:39Z,g077,t03_s05,Sprint 1
t03,commit,2024-02-22T20:00:18Z,g077,t03_s05,Sprint 1
