team,label,student,sprint,global_id
t16,good teammate,t16_s01,Sprint 1,g100
t16,couch potato,t16_s04,Sprint 1,g115
t17,good teammember,t17_s03,Sprint 1,g071
t17,good teammate,t17_s04,Sprint 1,g082
t17,good teammate,t17_s01,Sprint 1,g061
t17,good teammate,t17_s05,Sprint 1,g091
t17,good teammate,t17_s02,Sprint 1,g070
t17,good teammember,t17_s05,Sprint 1,g091
t17,good teammate,t17_s01,Sprint 1,g061
t17,good teammate,t17_s04,Sprint 1,g082
t17,good teammate,t17_s02,Sprint 1,g070
t17,hitchhiker,t17_s03,Sprint 1,g071
t17,good teammember,t17_s02,Sprint 1,g070
t17,good teammate,t17_s05,Sprint 1,g091
t17,good teammate,t17_s01,Sprint 1,g061
t17,good teammate,t17_s04,Sprint 1,g082
t17,couch potato,t17_s03,Sprint 1,g071
t17,good teammember,t17_s04,Sprint 1,g082
t17,good teammate,t17_s03,Sprint 1,g071
t17,lone wolf,t17_s01,Sprint 1,g061
t17,good teammate,t17_s02,Sprint 1,g070
t17,good teammate,t17_s05,Sprint 1,g091
t17,good teammember,t17_s01,Sprint 1,g061
t17,good teammate,t17_s02,Sprint 1,g070
t17,good teammate,t17_s04,Sprint 1,g082
t17,good teammate,t17_s03,Sprint 1,g071
t17,good teammate,t17_s05,Sprint 1,g091
t18,good teammember,t18_s02,Sprint 1,g007
t18,good teammate,t18_s01,Sprint 1,g005
t18,good teammate,t18_s03,Sprint 1,g008
t18,couch potato,t18_s06,Sprint 1,g090
t18,couch potato,t18_s05,Sprint 1,g043
t18,good teammember,t18_s06,Sprint 1,g090
t18,good teammate,t18_s02,Sprint 1,g007
t18,good teammate,t18_s03,Sprint 1,g008
t18,good teammate,t18_s05,Sprint 1,g043
t18,good teammate,t18_s01,Sprint 1,g005
t18,good teammember,t18_s03,Sprint 1,g008
t18,good teammate,t18_s02,Sprint 1,g007
t18,good teammate,t18_s01,Sprint 1,g005
t18,good teammate,t18_s05,Sprint 1,g043
t18,good teammate,t18_s06,Sprint 1,g090
t18,good teammember,t18_s01,Sprint 1,g005
t18,good teammate,t18_s03,Sprint 1,g008
t18,good teammate,t18_s02,Sprint 1,g007
t18,good teammate,t18_s06,Sprint 1,g090
t18,good teammate,t18_s05,Sprint 1,g043
t18,good teammember,t18_s05,Sprint 1,g043
t18,good teammate,t18_s02,Sprint 1,g007
t18,good teammate,t18_s01,Sprint 1,g005
t18,good teammate,t18_s03,Sprint 1,g008
t18,good teammate,t18_s06,Sprint 1,g090
t19,na,t19_s03,Sprint 1,g118
t19,good teammate,t19_s05,Sprint 1,g121
t19,good teammate,t19_s01,Sprint 1,g093
t19,good teammate,t19_s04,Sprint 1,g120
t19,good teammate,t19_s06,Sprint 1,g123
t19,good teammember,t19_s05,Sprint 1,g121
t19,good teammate,t19_s01,Sprint 1,g093
t19,good teammate,t19_s04,Sprint 1,g120
t19,good teammate,t19_s06,Sprint 1,g123
t19,hitchhiker,t19_s03,Sprint 1,g118
t19,good teammember,t19_s01,Sprint 1,g093
